"name","review","grade"
"대모산칼국수",3,4.5
"멍텅구리꼼장어막창",3,4.5
"블룸앤구떼",3,4.5
"최가네버섯매운탕칼국수",3,4.5
"월화당",5,4
"열정족발",2,5
"소나무야",4,4.5
"루비떡볶이",4,4.5
"담소사골순대",5,4
"닭으로가",3,4.5
"무월식탁",4,4
"비스트로 봉",4,4.5
"라드레쎄",2,5
"이삭토스트",2,5
"영동갈비살",2,5
"아실라",3,4.5
"폴바셋",4,4
"셰레타이",3,4.5
"빅락",3,4
"체스터치킨",2,5
"셰막",3,4.5
"빌리엔젤케익컴퍼니",3,4.5
"맛있는돈까스",3,4.5
"금강수림",3,4.5
"일치프리아니",3,4.5
"SOVS",5,4
"김밥천국",4,4
"포차팩토리",3,4.5
"78온더라이즈",3,5
"종로김밥",2,5
"나마스테 청담점",7,4
"명가뼈다귀감자탕",2,5
"김밥천국",3,4.5
"오설록",5,4
"박고볼래",2,5
"신의주찹쌀순대",11,3.5
"가담",3,4.5
"둘둘치킨 삼성역점",7,3.5
"순두부마을",4,4.5
"진성식당",2,5
"청담",4,4.5
"스무디킹",4,4
"페어링6",5,4
"라뜰리에",6,3.5
"버거킹 선릉점",7,3.5
"홍짜장",3,4.5
"네네치킨",3,4.5
"하늘정원",3,4.5
"료기",2,5
"홍대돈부리",4,4.5
"강남면옥",3,4.5
"두사라",3,4.5
"새마을식당",3,4.5
"샤브쌈주머니",3,4.5
"갓잇",3,4.5
"안동찜닭&해물떡찜",3,4.5
"들었나놨다참숯불닭갈비",3,4.5
"폴바셋",4,4
"코코이찌방야",3,4.5
"뚝배기 황태 칼국수",3,5
"빕스 강남역점",16,3.5
"용삼계탕",2,5
"교센",3,4.5
"버터핑거팬케익스",5,4
"오징어청춘",4,4.5
"동대문닭한마리",2,5
"배덕현함흥냉면",2,5
"커핀그루나루",6,4
"루소랩",3,4.5
"BHC치킨",2,5
"아티제",3,4.5
"조스샌드위치",3,4.5
"맛뜸뼈다귀해장국",4,4
"글래드 라이브 아트마켓",7,3.5
"퀸스파크",3,4.5
"물고기자리",2,5
"맥도날드",4,4.5
"더 스프링 탭 하우스",3,4.5
"비블레스",3,5
"투썸플레이스",4,4
"희래등",3,4.5
"보나세라",9,3.5
"세시세라",2,5
"러브인토스터",3,5
"전나라쭈꾸미",4,4
"완산골명가 압구정2호점",11,4.5
"설빙",4,4.5
"미아전",2,4.5
"정가네손칼국수",3,4.5
"스위치 플래닛",3,4.5
"김수사",12,3.5
"슈만드젠",2,5
